Real Part,Frequency (Hz)
-119.35687565316402,19573.92467127953
-318.6950145631781,19236.93417001284
-390.816504511291,18883.53282603247
-432.54606574339414,18506.645980187015
-510.7109864692102,17734.791557634464
-576.3180682178803,95.81911991801432
-600.7857715977352,18134.897271440164
-726.3187556622386,3129.7216728530784
-732.4704214379472,15297.909763793812
-828.0151951374592,14902.324755536181
-828.0967245852266,1042.7396310782385
-916.9453318737287,13607.896809408372
-938.6688991392966,16581.41415619036
-996.5026343404506,4072.428187041782
-1003.2187339903976,15762.426120349457
-1007.7150066156682,13143.057365289475
-1011.8709579494116,16168.285314975423
-1013.6654086452218,12187.655651155277
-1050.9847923393372,10493.395739911793
-1083.7339772310163,468.5242504995561
-1091.8731339561364,11782.412481973603
-1123.241690591657,2679.406602478668
-1132.5843952821592,14391.719590077857
-1203.95890274644,8383.214656108614
-1209.7476197277163,1440.2868945764803
-1232.3320053654716,7071.556622688625
-1243.6963157181985,7520.953024572101
-1260.8707418261047,3608.1654775108304
-1295.6815750866826,9267.45515334485
-1316.7227325548156,9688.082818962339
-1360.7707885439322,8828.46028196833
-1390.1191946687813,11357.327014860684
-1414.8299579773548,4997.954340737674
-1417.6737268472934,14040.749201645312
-1461.277635556291,10024.271373645457
-1462.4486206098063,12693.911483399226
-1510.358561578456,10988.83540024364
-1530.631113827617,7988.155124239697
-1540.9731915330876,2218.9950905408186
-1630.2524868766532,4484.12042285781
-1639.2839720536085,6626.6122930421525
-1665.6882722653081,5388.454323161023
-1696.8661245461149,1906.0891287054685
-1770.7442346183889,5799.798074315985
-1853.6415149312866,6212.159450041078
